course_name,absolute_course_url,school,school_absolute_url,subject_name,start_date
是誰在說話 -- 可愛的臺灣。（Intermediate Chinese）,https://www.classcentral.com/course/learn-intermediate-chinese-mandarin-12501,Columbia Business School Executive Education,https://www.classcentral.com/university/taiwan,Humanities Courses,"22nd Jun, 2020"
The Unix Workbench,https://www.classcentral.com/course/unix-8866,UC Berkeley Executive Education,https://www.classcentral.com/university/jhu,Computer Science Courses,"15th Jun, 2020"
La Disrupción del Blockchain,https://www.classcentral.com/course/blockchain-espanol-10495,UC Berkeley Executive Education,https://www.classcentral.com/university/austral,Computer Science Courses,"15th Jun, 2020"
TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices,https://www.classcentral.com/course/tech-med-medical-devices-10361,UC Berkeley Executive Education,https://www.classcentral.com/university/ufl,Computer Science Courses,"15th Jun, 2020"
Tales from the Genome,https://www.classcentral.com/course/udacity-tales-from-the-genome-1045,Udacity School of Business: Now Special Discount,https://www.classcentral.com/institution/23andme,Science Courses,Self paced
Neuronal Dynamics,https://www.classcentral.com/course/edx-neuronal-dynamics-1055,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/epfl,Science Courses,Self paced
Our Energetic Earth,https://www.classcentral.com/course/edx-our-energetic-earth-1235,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/utoronto,Science Courses,Self paced
Sustainable Agricultural Land Management,https://www.classcentral.com/course/sustainableag-539,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/ufl,Social Sciences Courses,"22nd Jun, 2020"
Microeconomics: The Power of Markets,https://www.classcentral.com/course/microeconomics-part1-624,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/penn,Social Sciences Courses,"22nd Jun, 2020"
Основы микроэкономики (Microeconomics Principles),https://www.classcentral.com/course/microeconomic-1384,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/hse,Social Sciences Courses,"22nd Jun, 2020"
Successful Negotiation: Essential Strategies and Skills,https://www.classcentral.com/course/edx-successful-negotiation-essential-strategies-and-skills-19416,Columbia Business School Executive Education,https://www.classcentral.com/university/umich,Personal Development Courses,Self paced
Sign Language: Factors Contributing to Natural Structure,https://www.classcentral.com/course/edx-sign-language-factors-contributing-to-natural-structure-19064,Columbia Business School Executive Education,https://www.classcentral.com/university/georgetown,Personal Development Courses,Self paced
Matrix Algebra for Engineers,https://www.classcentral.com/course/matrix-algebra-engineers-11986,Udacity Digital Marketing Course: Now Special Discount,https://www.classcentral.com/university/hkust,Mathematics Courses,"1st Jun, 2020"
Protecting Cloud Architecture with Alibaba Cloud,https://www.classcentral.com/course/alibaba-cloud-security-solutions-20059,Columbia Business School Executive Education,https://www.classcentral.com/institution/alibaba,Programming Courses,"Jun, 2020"
AWS Machine Learning Foundations Course,https://www.classcentral.com/course/udacity-aws-machine-learning-foundations-course-19756,Columbia Business School Executive Education,https://www.classcentral.com/institution/aws,Programming Courses,Self paced
"HTML, CSS, and Javascript for Web Developers",https://www.classcentral.com/course/html-css-javascript-for-web-developers-4270,Columbia Business School Executive Education,https://www.classcentral.com/university/jhu,Programming Courses,"1st Jun, 2020"
身边的营养学,https://www.classcentral.com/course/edx--2431,MIT xPRO,https://www.classcentral.com/university/pku,Health & Medicine Courses,Self paced
Integrated Health Management Strategies for Menopause 更年期综合管理,https://www.classcentral.com/course/edx-integrated-health-management-strategies-for-menopause--2434,MIT xPRO,https://www.classcentral.com/university/pku,Health & Medicine Courses,Self paced
Representations of HIV/AIDS,https://www.classcentral.com/course/edx-representations-of-hiv-aids-1625,MIT xPRO,https://www.classcentral.com/university/davidson,Health & Medicine Courses,Self paced
Future Classroom Scenarios,https://www.classcentral.com/course/independent-future-classroom-scenarios-10770,UC Berkeley Executive Education,https://www.classcentral.com/institution/school-education-gateway,Education & Teaching Courses,Self paced
